pageid,title
970627,Kassym-Jomart Tokayev
7257394,Erbolat Dosaev
7346307,Bulat Aqchulaqov
13731825,Bakhyt Sultanov
34035656,Asset Issekeshev
56143592,Krymbek Kusherbayev
62142746,Mukhtar Tleuberdi
62878203,Altai Kölgınov
63666856,Dauren Abaev
63676930,Roman Sklyar
63860742,Mäulen Äşimbaev
64598810,Eraly Togjanov
64797188,Älihan Smaiylov
65200179,Bağdat Musin
65213112,Tamara Duisenova
65245059,Ashat Aimagambetov
65390621,Erulan Jamaubaev
65441988,Yuri Ilyin
65642246,Timur Suleimenov
68696397,Serıkqali Brekeşev
69997075,Ruslan Jaqsylyqov
